Project,JNI_File,ASM,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed
wolfcrypt-v1.5.0-stable,jni/jni_fips.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/Rng.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/Hmac.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/WolfObject.java,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/NativeStruct.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.5.0-stable,src/main/java/com/wolfssl/wolfcrypt/Asn.java,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Aes.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Fips.java,0,36,0,0,0,0,0,0,0,0,1,0,0,22,0,1
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/FeatureDetect.java,0,5,0,0,0,0,0,3,3,0,1,0,0,3,0,1
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Hmac.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Chacha.java,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
wolfcrypt-v1.6.0-stable,jni/jni_native_struct.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
wolfcrypt-v1.6.0-stable,jni/jni_fips.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Asn.java,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Des3.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Logging.java,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/WolfCrypt.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Rng.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/WolfObject.java,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Pwdbased.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Curve25519.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/NativeStruct.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.6.0-stable,src/main/java/com/wolfssl/wolfcrypt/Rsa.java,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
wolfcrypt-v1.1.0-stable,src/main/java/com/wolfssl/wolfcrypt/Aes.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.1.0-stable,src/main/java/com/wolfssl/wolfcrypt/Des3.java,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
wolfcrypt-v1.1.0-stable,src/main/java/com/wolfssl/wolfcrypt/Fips.java,0,34,0,0,0,0,0,0,0,0,1,0,0,22,0,1
wolfcrypt-v1.1.0-stable,src/main/java/com/wolfssl/wolfcrypt/Logging.java,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
wolfcrypt-v1.1.0-stable,src/main/java/com/wolfssl/wolfcrypt/Chacha.java,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
wolfcrypt-v1.1.0-stable,jni/jni_native_struct.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
wolfcrypt-v1.1.0-stable,src/main/java/com/wolfssl/wolfcrypt/FeatureDetect.java,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
wolfcrypt-v1.1.0-stable,src/main/java/com/wolfssl/wolfcrypt/Sha512.java,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
wolfcrypt-v1.1.0-stable,src/main/java/com/wolfssl/wolfcrypt/Curve25519.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
wolfcrypt-v1.1.0-stable,jni/jni_fips.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
wolfcrypt-v1.1.0-stable,src/main/java/com/wolfssl/wolfcrypt/Rng.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.1.0-stable,src/main/java/com/wolfssl/wolfcrypt/Hmac.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
wolfcrypt-v1.1.0-stable,src/main/java/com/wolfssl/wolfcrypt/NativeStruct.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.1.0-stable,src/main/java/com/wolfssl/wolfcrypt/Asn.java,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.3.0-stable,src/main/java/com/wolfssl/wolfcrypt/Aes.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wolfcrypt-v1.3.0-stable,src/main/java/com/wolfssl/wolfcrypt/Des3.java,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
wolfcrypt-v1.3.0-stable,src/main/java/com/wolfssl/wolfcrypt/Fips.java,0,36,0,0,0,0,0,0,0,0,1,0,0,22,0,1
wolfcrypt-v1.3.0-stable,src/main/java/com/wolfssl/wolfcrypt/Logging.java,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
wolfcrypt-v1.3.0-stable,src/main/java/com/wolfssl/wolfcrypt/Chacha.java,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
wolfcrypt-v1.3.0-stable,jni/jni_native_struct.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
wolfcrypt-v1.3.0-stable,src/main/java/com/wolfssl/wolfcrypt/FeatureDetect.java,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
wolfcrypt-v1.3.0-stable,src/main/java/com/wolfssl/wolfcrypt/Sha512.java,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
wolfcrypt-v1.3.0-stable,src/main/java/com/wolfssl/wolfcrypt/Curve25519.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
wolfcrypt-v1.3.0-stable,jni/jni_fips.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
wolfcrypt-v1.3.0-stable,src/main/java/com/wolfssl/wolfcrypt/Rng.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wolfcrypt-v1.3.0-stable,src/main/java/com/wolfssl/wolfcrypt/Hmac.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
wolfcrypt-v1.3.0-stable,src/main/java/com/wolfssl/wolfcrypt/WolfObject.java,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
wolfcrypt-v1.3.0-stable,src/main/java/com/wolfssl/wolfcrypt/NativeStruct.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wolfcrypt-v1.3.0-stable,src/main/java/com/wolfssl/wolfcrypt/Asn.java,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wolfcrypt-v1.2.0-stable,src/main/java/com/wolfssl/wolfcrypt/Aes.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.2.0-stable,src/main/java/com/wolfssl/wolfcrypt/Des3.java,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
wolfcrypt-v1.2.0-stable,src/main/java/com/wolfssl/wolfcrypt/Fips.java,0,34,0,0,0,0,0,0,0,0,1,0,0,23,0,1
wolfcrypt-v1.2.0-stable,src/main/java/com/wolfssl/wolfcrypt/Logging.java,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
wolfcrypt-v1.2.0-stable,src/main/java/com/wolfssl/wolfcrypt/Chacha.java,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
wolfcrypt-v1.2.0-stable,jni/jni_native_struct.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
wolfcrypt-v1.2.0-stable,src/main/java/com/wolfssl/wolfcrypt/FeatureDetect.java,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
wolfcrypt-v1.2.0-stable,src/main/java/com/wolfssl/wolfcrypt/Sha512.java,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
wolfcrypt-v1.2.0-stable,src/main/java/com/wolfssl/wolfcrypt/Curve25519.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
wolfcrypt-v1.2.0-stable,jni/jni_fips.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
wolfcrypt-v1.2.0-stable,src/main/java/com/wolfssl/wolfcrypt/Rng.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.2.0-stable,src/main/java/com/wolfssl/wolfcrypt/Hmac.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
wolfcrypt-v1.2.0-stable,src/main/java/com/wolfssl/wolfcrypt/WolfObject.java,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
wolfcrypt-v1.2.0-stable,src/main/java/com/wolfssl/wolfcrypt/NativeStruct.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.2.0-stable,src/main/java/com/wolfssl/wolfcrypt/Asn.java,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.0.0-stable,src/main/java/com/wolfssl/wolfcrypt/Aes.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wolfcrypt-v1.0.0-stable,src/main/java/com/wolfssl/wolfcrypt/Des3.java,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
wolfcrypt-v1.0.0-stable,src/main/java/com/wolfssl/wolfcrypt/Fips.java,0,34,0,0,0,0,0,0,0,0,1,0,0,22,0,1
wolfcrypt-v1.0.0-stable,src/main/java/com/wolfssl/wolfcrypt/Logging.java,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
wolfcrypt-v1.0.0-stable,jni/jni_native_struct.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
wolfcrypt-v1.0.0-stable,src/main/java/com/wolfssl/wolfcrypt/Sha512.java,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
wolfcrypt-v1.0.0-stable,jni/jni_fips.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
wolfcrypt-v1.0.0-stable,src/main/java/com/wolfssl/wolfcrypt/Rng.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wolfcrypt-v1.0.0-stable,src/main/java/com/wolfssl/wolfcrypt/NativeStruct.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfcrypt-v1.0.0-stable,src/main/java/com/wolfssl/wolfcrypt/Asn.java,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
