ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedDeclarationDetectio,,strpbrk,BytePointer,org.bytedeco.javacpp,/home/abhaya/shahrukh/cloned_abidi/javacpp-1.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java
CS2,UnusedDeclarationDetectio,,put,SizeTPointer,org.bytedeco.javacpp,/home/abhaya/shahrukh/cloned_abidi/javacpp-1.2/src/main/java/org/bytedeco/javacpp/SizeTPointer.java,SizeTPointer.java
CS3,UnusedDeclarationDetectio,,fetchSharedData,AdapterTest,org.bytedeco.javacpp,/home/abhaya/shahrukh/cloned_abidi/javacpp-1.2/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java
CS4,UnusedDeclarationDetectio,,strncat,BytePointer,org.bytedeco.javacpp,/home/abhaya/shahrukh/cloned_abidi/javacpp-1.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java
CS5,UnusedDeclarationDetectio,,allocateArray,SizeTPointer,org.bytedeco.javacpp,/home/abhaya/shahrukh/cloned_abidi/javacpp-1.2/src/main/java/org/bytedeco/javacpp/SizeTPointer.java,SizeTPointer.java
CS6,UnusedDeclarationDetectio,,strchr,BytePointer,org.bytedeco.javacpp,/home/abhaya/shahrukh/cloned_abidi/javacpp-1.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java
CS7,UnusedDeclarationDetectio,,storeSharedData,AdapterTest,org.bytedeco.javacpp,/home/abhaya/shahrukh/cloned_abidi/javacpp-1.2/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java
CS8,UnusedDeclarationDetectio,,strtok,BytePointer,org.bytedeco.javacpp,/home/abhaya/shahrukh/cloned_abidi/javacpp-1.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java
CS9,UnusedDeclarationDetectio,,strspn,BytePointer,org.bytedeco.javacpp,/home/abhaya/shahrukh/cloned_abidi/javacpp-1.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java
CS10,UnusedDeclarationDetectio,,strstr,BytePointer,org.bytedeco.javacpp,/home/abhaya/shahrukh/cloned_abidi/javacpp-1.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java
CS11,UnusedDeclarationDetectio,,strcmp,BytePointer,org.bytedeco.javacpp,/home/abhaya/shahrukh/cloned_abidi/javacpp-1.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java
CS12,UnusedDeclarationDetectio,,testStdString,AdapterTest,org.bytedeco.javacpp,/home/abhaya/shahrukh/cloned_abidi/javacpp-1.2/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java
CS13,UnusedDeclarationDetectio,,testStdVectorByVal,AdapterTest,org.bytedeco.javacpp,/home/abhaya/shahrukh/cloned_abidi/javacpp-1.2/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java
