Project,FileName,ASMRV,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed,PrevFixing,CodeChurn,LOC
zstd-jni-v1.3.5-3,src/main/native/jni_fast_zstd.c,0,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,1,296,179
zstd-jni-v1.3.5-3,src/main/java/com/github/luben/zstd/ZstdOutputStream.java,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,640,164
zstd-jni-v1.3.5-3,src/main/native/jni_inputstream_zstd.c,0,0,0,0,0,9,9,0,0,1,0,0,0,0,0,0,7,489,116
zstd-jni-v1.3.5-3,jni/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1960,1755
zstd-jni-v1.3.5-3,src/main/native/jni_directbuffercompress_zstd.c,0,0,0,0,0,7,7,0,0,1,0,0,0,0,0,0,0,158,139
zstd-jni-v1.3.5-3,src/main/java/com/github/luben/zstd/ZstdDictDecompress.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,89,47
zstd-jni-v1.3.5-3,src/main/native/jni_outputstream_zstd.c,0,0,0,0,0,7,7,0,0,1,0,0,0,0,0,0,7,673,139
zstd-jni-v1.3.5-3,src/main/java/com/github/luben/zstd/ZstdDirectBufferDecompressingStream.java,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,219,137
zstd-jni-v1.3.5-3,src/main/java/com/github/luben/zstd/Zstd.java,0,15,0,0,0,0,0,0,0,0,1,0,0,19,0,1,4,1537,984
zstd-jni-v1.3.5-3,src/main/native/jni_zdict.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,111,82
zstd-jni-v1.3.5-3,src/main/native/jni_zstd.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,597,332
zstd-jni-v1.3.5-3,src/main/java/com/github/luben/zstd/ZstdDirectBufferCompressingStream.java,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,233,159
zstd-jni-v1.3.5-3,src/main/java/com/github/luben/zstd/ZstdInputStream.java,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1106,187
zstd-jni-v1.3.5-3,src/main/native/jni_directbufferdecompress_zstd.c,0,0,0,0,0,7,7,0,0,1,0,0,0,0,0,0,1,38,104
zstd-jni-v1.3.5-3,src/main/java/com/github/luben/zstd/ZstdDictCompress.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,86,48
zstd-jni-v1.3.2-2,src/main/native/jni_fast_zstd.c,0,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,1,296,179
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/ZstdOutputStream.java,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,538,128
zstd-jni-v1.3.2-2,src/main/native/jni_inputstream_zstd.c,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,7,450,82
zstd-jni-v1.3.2-2,src/main/native/jni_directbuffercompress_zstd.c,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,123,106
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/ZstdDictDecompress.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,89,47
zstd-jni-v1.3.2-2,src/main/native/jni_outputstream_zstd.c,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,7,635,104
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/ZstdDirectBufferDecompressingStream.java,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,158,101
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/Zstd.java,0,15,0,0,0,0,0,0,0,0,1,0,0,18,0,1,2,1400,875
zstd-jni-v1.3.2-2,src/main/native/jni_zdict.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,49,43
zstd-jni-v1.3.2-2,src/main/native/jni_zstd.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,518,284
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/ZstdDirectBufferCompressingStream.java,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,152,123
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/ZstdInputStream.java,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1032,159
zstd-jni-v1.3.2-2,src/main/native/jni_directbufferdecompress_zstd.c,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,70
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/ZstdDictCompress.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,86,48
zstd-jni-v1.4.0-1,src/main/native/jni_fast_zstd.c,0,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,1,328,179
zstd-jni-v1.4.0-1,src/main/java/com/github/luben/zstd/ZstdOutputStream.java,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,867,205
zstd-jni-v1.4.0-1,src/main/native/jni_inputstream_zstd.c,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,9,605,81
zstd-jni-v1.4.0-1,jni/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1960,1755
zstd-jni-v1.4.0-1,src/main/native/jni_directbuffercompress_zstd.c,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,160,139
zstd-jni-v1.4.0-1,src/main/java/com/github/luben/zstd/ZstdDictDecompress.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,117,41
zstd-jni-v1.4.0-1,src/main/native/jni_outputstream_zstd.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,736,105
zstd-jni-v1.4.0-1,src/main/java/com/github/luben/zstd/ZstdDirectBufferDecompressingStream.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,313,110
zstd-jni-v1.4.0-1,src/main/java/com/github/luben/zstd/Zstd.java,0,18,0,0,0,0,0,0,0,0,1,0,4,18,0,1,9,1764,1154
zstd-jni-v1.4.0-1,src/main/native/jni_zdict.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,151,84
